,Epochs,Params,Train loss,Test loss
43,43,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.3466]))])",0.7537510514259338,0.5166625310996703
44,44,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.3745]))])",0.7522099986672401,0.5163795839932087
45,45,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.4019]))])",0.7507399042447408,0.5161168900209304
46,46,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.4288]))])",0.7493362853924433,0.515872819259918
47,47,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.4553]))])",0.7479949414730072,0.5156458472556551
48,48,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.4813]))])",0.7467120399077734,0.5154346085271148
49,49,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.5070]))])",0.7454840655128161,0.5152378744248828
50,50,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.5322]))])",0.7443077544371287,0.5150544727498982
51,51,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.5570]))])",0.7431800608833631,0.5148834492232709
52,52,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.5815]))])",0.7420982465147972,0.5147237898278642
53,53,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.6056]))])",0.7410596832633018,0.5145746932927674
54,54,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.6294]))])",0.7400619472066562,0.5144353457484007
55,55,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.6528]))])",0.7391028424104055,0.5143050469477506
56,56,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.6760]))])",0.7381802531580131,0.5141831581922209
57,57,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.6988]))])",0.7372922504941622,0.514069059973311
58,58,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.7213]))])",0.7364370405673981,0.5139622002665419
